name,category,ra_deg,dec_deg,r_proj_mpc,v_kms,v_mean_kms,delta_v_kms,sigma_v_kms,v_over_sigma,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
692.0,background,186.0063131,12.2047665,0.4958370142283634,2325.0,1454.388888888889,870.6111111111111,223.8834094919756,3.8886807784759743,,,,
698.0,background,186.0209443,11.2180718,0.5953941889905755,2083.0,1454.388888888889,628.6111111111111,223.8834094919756,2.807761024086252,,,,
731.0,background,186.11773,7.3177697,1.5416766308556202,1243.0,1454.388888888889,-211.3888888888889,223.8834094919756,-0.9441918423904719,,,,
750.0,background,186.2065252,6.7595615,1.6900459040075735,1059.0,1454.388888888889,-395.3888888888889,223.8834094919756,-1.7660481845710876,,,,
759.0,background,186.2309734,11.7041966,0.47184539376586215,933.0,1454.388888888889,-521.3888888888889,223.8834094919756,-2.328841114542596,,,,
763.0,background,186.2656026,12.8869755,0.4417489273465607,1017.0,1454.388888888889,-437.3888888888889,223.8834094919756,-1.9536458278949238,,,,
778.0,background,186.3014104,14.7621692,0.7991851461970901,1338.0,1454.388888888889,-116.38888888888891,223.8834094919756,-0.5198638396341758,,,,
784.0,background,186.3114423,15.6074215,1.016620035210375,1074.0,1454.388888888889,-380.3888888888889,223.8834094919756,-1.699049026241146,,,,
785.0,background,186.3254153,4.9251457,2.2018341977645672,2559.0,1454.388888888889,1104.611111111111,223.8834094919756,4.933867648423062,,,,
792.0,background,186.342391,10.0167929,0.7940183710602479,963.0,1454.388888888889,-491.3888888888889,223.8834094919756,-2.194842797882713,,,,
801.0,background,186.3560921,16.4699454,1.245948306742983,1710.0,1454.388888888889,255.6111111111111,223.8834094919756,1.1417152869483733,,,,
828.0,background,186.4236734,12.8105171,0.39123403614140095,538.0,1454.388888888889,-916.3888888888889,223.8834094919756,-4.093152283897722,,,,
836.0,background,186.4446712,12.6619044,0.3740940990052238,2524.0,1454.388888888889,1069.611111111111,223.8834094919756,4.777536278986531,,,,
856.0,background,186.4913357,10.0537778,0.7638822005382767,1001.0,1454.388888888889,-453.3888888888889,223.8834094919756,-2.0251115967801945,,,,
873.0,background,186.5297661,13.1119969,0.400050556790707,237.0,1454.388888888889,-1217.388888888889,223.8834094919756,-5.437602061051881,,,,
874.0,background,186.5298124,16.1809713,1.1507621851948502,1735.0,1454.388888888889,280.6111111111111,223.8834094919756,1.2533805508316092,,,,
896.0,background,186.5942075,12.7863945,0.3421661296239409,2114.0,1454.388888888889,659.6111111111111,223.8834094919756,2.946225951301464,,,,
898.0,background,186.5984901,13.3735172,0.4293061007742506,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
912.0,background,186.634391,12.6107082,0.31719848765319364,69.0,1454.388888888889,-1385.388888888889,223.8834094919756,-6.187992634347226,,,,
916.0,background,186.6383646,12.7429799,0.3259706516871099,1298.0,1454.388888888889,-156.3888888888889,223.8834094919756,-0.6985282618473531,,,,
929.0,background,186.6686939,8.4356972,1.185854884429223,907.0,1454.388888888889,-547.3888888888889,223.8834094919756,-2.4449729889811613,,,,
930.0,background,186.6714522,12.845406,0.32764593617536214,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
938.0,background,186.694772,7.9189879,1.3296544456544406,1399.0,1454.388888888889,-55.388888888888914,223.8834094919756,-0.24740059575908036,,,,
939.0,background,186.6968095,8.8845903,1.0581636401552095,1272.0,1454.388888888889,-182.3888888888889,223.8834094919756,-0.8146601362859184,,,,
940.0,background,186.6961004,12.4539694,0.2934114286722008,1392.0,1454.388888888889,-62.388888888888914,223.8834094919756,-0.2786668696463864,,,,
942.0,background,186.7020527,12.399878,0.2911296959254137,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
944.0,background,186.7108668,9.5842588,0.8636247115587035,828.0,1454.388888888889,-626.3888888888889,223.8834094919756,-2.7978352228521866,,,,
950.0,background,186.7114036,11.557647,0.37629891126232357,1100.0,1454.388888888889,-354.3888888888889,223.8834094919756,-1.5829171518025809,,,,
951.0,background,186.726503,11.6639359,0.35375659086694494,2106.0,1454.388888888889,651.6111111111111,223.8834094919756,2.9104930668588285,,,,
962.0,background,186.746057,12.5056882,0.28033321477567213,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
965.0,background,186.7628443,12.5607787,0.27787947526774925,830.0,1454.388888888889,-624.3888888888889,223.8834094919756,-2.7889020017415276,,,,
966.0,background,186.7605852,15.4614659,0.9316478690128724,1551.0,1454.388888888889,96.61111111111109,223.8834094919756,0.43152420865099345,,,,
967.0,background,186.7658563,12.8664417,0.3054832631539753,1135.0,1454.388888888889,-319.3888888888889,223.8834094919756,-1.4265857823660506,,,,
968.0,background,186.7752955,13.3236918,0.38206699434951996,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
977.0,background,186.7968529,12.0381804,0.2827985035164584,57.0,1454.388888888889,-1397.388888888889,223.8834094919756,-6.24159196101118,,,,
978.0,background,186.7966853,12.1145416,0.27560455819401725,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
979.0,background,186.7986301,9.4207733,0.9006877282308697,437.0,1454.388888888889,-1017.3888888888889,223.8834094919756,-4.544279949985995,,,,
