name,category,ra_deg,dec_deg,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
1535.0,background,188.5124331,7.69931,617.0,1454.388888888889,,,,,
1537.0,background,188.525321,11.3212533,1378.0,1454.388888888889,,,,,
1539.0,background,188.5280977,12.7415714,1508.0,1454.388888888889,,,,,
1545.0,background,188.5480615,12.0489659,2065.0,1454.388888888889,,,,,
1552.0,background,188.5661639,13.0753139,90.0,1454.388888888889,,,,,
1563.0,background,188.6085262,11.9170464,2249.0,1454.388888888889,,,,,
1588.0,background,188.7118891,15.5516418,1291.0,1454.388888888889,,,,,
1615.0,background,188.8602505,14.4963502,486.0,1454.388888888889,,,,,
1619.0,background,188.8774282,12.220753,459.0,1454.388888888889,,,,,
1627.0,background,188.9052169,12.3820489,282.0,1454.388888888889,,,,,
1630.0,background,188.9081312,12.2639882,1176.0,1454.388888888889,,,,,
1632.0,background,188.9158835,12.5563645,340.0,1454.388888888889,,,,,
1661.0,background,189.1032517,10.3846789,1419.0,1454.388888888889,,,,,
1664.0,background,189.1124336,11.4392282,1142.0,1454.388888888889,,,,,
1692.0,background,189.2224185,7.2465803,1787.0,1454.388888888889,,,,,
1695.0,background,189.2285916,12.5201265,1717.0,1454.388888888889,,,,,
1696.0,background,189.2349379,14.2173437,332.0,1454.388888888889,,,,,
1720.0,background,189.3773344,9.5550995,2292.0,1454.388888888889,,,,,
1727.0,background,189.4313892,11.8182052,1517.0,1454.388888888889,,,,,
1730.0,background,189.4516186,5.3685208,1035.0,1454.388888888889,,,,,
1743.0,background,189.5282773,10.0823858,1279.0,1454.388888888889,,,,,
1779.0,background,189.7695433,14.7310745,1251.0,1454.388888888889,,,,,
1809.0,background,189.9500562,12.9739543,2828.0,1454.388888888889,,,,,
1811.0,background,189.9663104,15.2977805,631.0,1454.388888888889,,,,,
1813.0,background,189.9831538,10.176147,1892.0,1454.388888888889,,,,,
1826.0,background,190.0468834,9.8961198,1973.0,1454.388888888889,,,,,
1828.0,background,190.0557887,12.8747695,1560.0,1454.388888888889,,,,,
1833.0,background,190.0820095,15.9352811,1705.0,1454.388888888889,,,,,
1857.0,background,190.2213279,10.4756088,634.0,1454.388888888889,,,,,
1859.0,background,190.2398109,11.9121733,1649.0,1454.388888888889,,,,,
1861.0,background,190.2439935,11.1844975,630.0,1454.388888888889,,,,,
1869.0,background,190.3053852,10.1556511,1850.0,1454.388888888889,,,,,
1870.0,background,190.3139453,11.2984787,1652.0,1454.388888888889,,,,,
1871.0,background,190.3155405,11.3872469,557.0,1454.388888888889,,,,,
1879.0,background,190.3641447,11.145837,1070.0,1454.388888888889,,,,,
1883.0,background,190.3864549,7.3148793,1775.0,1454.388888888889,,,,,
1886.0,background,190.4142274,12.2474618,927.0,1454.388888888889,,,,,
1895.0,background,190.4665489,9.4029504,970.0,1454.388888888889,,,,,
1903.0,background,190.5094276,11.6469455,467.0,1454.388888888889,,,,,
1910.0,background,190.5361351,11.7542664,196.0,1454.388888888889,,,,,
1938.0,background,190.6976235,11.4425074,1152.0,1454.388888888889,,,,,
1943.0,background,190.7182196,13.2573609,1018.0,1454.388888888889,,,,,
1948.0,background,190.7418971,10.6819602,1610.0,1454.388888888889,,,,,
1978.0,background,190.9165323,11.5527,1110.0,1454.388888888889,,,,,
1987.0,background,190.9857679,13.126709,1036.0,1454.388888888889,,,,,
1993.0,background,191.0501035,12.9418399,847.0,1454.388888888889,,,,,
1999.0,background,191.1224887,13.4985566,469.0,1454.388888888889,,,,,
2000.0,background,191.1332587,11.1905008,1083.0,1454.388888888889,,,,,
2019.0,background,191.3350829,13.692672,1819.0,1454.388888888889,,,,,
2048.0,background,191.813756,10.203629,1086.0,1454.388888888889,,,,,
2050.0,background,191.8359814,12.1664348,1165.0,1454.388888888889,,,,,
2058.0,background,191.9398462,13.7628078,1604.0,1454.388888888889,,,,,
