,Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,AoFe
168,12,0.35,0.1236,0.1583,1.6162,6.6754,4.987,2.1245,3.6152,7.3582,1.4726,5.9758,0.1809,0.3438,5.7342,2.8539,2.349,1.4384,0.9645,0.7491,4.4336,0.0491,0.0982,0.5
169,15,0.35,0.1453,0.1818,1.748,6.7967,5.0717,2.2113,3.7237,7.63,1.341,6.0494,0.1989,0.3622,5.9449,2.9298,2.4061,1.4841,0.9698,0.7708,4.7116,0.0515,0.109,0.5
170,1,0.67,-0.0266,0.0137,0.8367,4.0135,2.6819,1.5712,2.804,5.8748,3.2311,5.3218,0.1002,0.2028,3.2325,2.3144,2.0747,1.1252,0.9344,0.6444,3.3241,0.0253,0.0318,0.5
171,2,0.67,0.0415,0.0745,1.1989,5.6474,4.7547,1.9307,3.3204,7.4331,2.3114,6.0213,0.1437,0.2833,4.6291,2.6909,2.4091,1.3718,1.0115,0.7296,4.0421,0.0402,0.0642,0.5
172,3,0.67,0.0934,0.1279,1.4867,6.2412,5.3512,2.16,3.6434,8.5012,1.8861,6.3891,0.1809,0.3351,5.4728,2.9272,2.6053,1.5376,1.0721,0.8074,4.6662,0.0478,0.0819,0.5
173,4,0.67,0.128,0.1647,1.6699,6.5229,5.6519,2.2936,3.8247,9.0634,1.6603,6.5475,0.2036,0.3668,5.9472,3.0476,2.7016,1.6237,1.0986,0.8451,5.0417,0.051,0.0906,0.5
174,5,0.67,0.1381,0.1753,1.6956,6.5953,5.7599,2.3313,3.8791,9.1988,1.5873,6.5906,0.2106,0.3763,6.074,3.084,2.7281,1.6377,1.1013,0.8525,5.0756,0.0509,0.0911,0.5
175,6,0.67,0.1479,0.1862,1.7387,6.6631,5.8026,2.3613,3.9197,9.3191,1.5328,6.6206,0.2161,0.3846,6.1853,3.1106,2.7532,1.6507,1.1061,0.8612,5.1603,0.0508,0.0915,0.5
176,8,0.67,0.1705,0.2108,1.8712,6.7773,5.8982,2.434,4.0154,9.5984,1.4101,6.6888,0.2294,0.4033,6.4405,3.1823,2.8091,1.6939,1.1165,0.8842,5.4287,0.0515,0.0949,0.5
177,10,0.67,0.2007,0.2442,2.0989,6.8671,6.022,2.5265,4.139,9.9424,1.2597,6.7736,0.2455,0.4264,6.7621,3.269,2.8766,1.7459,1.1289,0.9096,5.8682,0.0537,0.1023,0.5
178,12,0.67,0.2343,0.2815,2.2409,6.8157,6.0524,2.5889,4.2329,10.2176,1.1739,6.8343,0.2589,0.4444,6.9823,3.3476,2.9348,1.7854,1.1326,0.9318,6.1552,0.055,0.106,0.5
179,15,0.67,0.3005,0.3541,2.3958,6.6693,6.0528,2.657,4.3552,10.6631,1.0736,6.7895,0.2827,0.4667,7.1696,3.4507,2.9976,1.8342,1.1434,0.972,6.5935,0.0548,0.1098,0.5
